"","Ambassis agassizii","Ambassis agrammus","Ambassis elongatus","Ambassis gymnocephalus","Ambassis interrupta","Ambassis macleayi","Ambassis miops","Ambassis sp. muelleri","Amniataba percoides","Anguilla australis","Anguilla bicolor","Anguilla obscura","Anguilla reinhardtii","Anodontiglanis dahli","Arramphus sclerolepis","Awaous acritosus","Awaous ocellaris","Bidyanus welchi","Bostrichthys zonatus","Brachirus salinarum","Brachirus selheimi","Bunaka gyrinoides","Butis butis ","Cairnsichthys rhombosomoides","Caranx sexfasciatus","Chanos chanos","Chlamydogobius ranunculus","Chlamydogobius squamigenus","Cinetodus froggatti","Craterocephalus eyresii","Craterocephalus marianae","Craterocephalus stercusmuscarum","Craterocephalus stramineus","Cynoglossus heterolepis","Denariusa bandata","Eleotris acanthopoma","Eleotris fusca","Eleotris melanosoma","Gerres filamentosus","Giurus margaritacea","Glossamia aprion","Glossogobius aureus","Glossogobius bellendenensis","Glossogobius circumspectus","Glossogobius concavifrons","Glossogobius giuris","Glossogobius illimis","Glossogobius munroi","Glossogobius nanus","Guyu wujalwujalensis","Hephaestus carbo","Hephaestus fuliginosus","Hephaestus jenkinsi","Hephaestus tulliensis","Hypseleotris barrawayi","Hypseleotris compressa","Hypseleotris klunzingeri","Hypseleotris sp. Lake","Hypseleotris sp. Midgley","Iriatherina werneri","Kuhlia marginata","Kuhlia rupestris","Kurtus gulliveri","Lates calcarifer","Leiognathus equula","Leiopotherapon unicolor","Leptachirus polylepis","Leptachirus triramus","Liza ordensis","Lutjanus argentimaculatus","Macquaria ambigua","Megalops cyprinoides","Melanotaenia australis","Melanotaenia eachamensis","Melanotaenia exquisita","Melanotaenia maccullochi","Melanotaenia nigrans","Melanotaenia splendida","Melanotaenia trifasciata","Melanotaenia utcheensis","Mogurnda adspersa","Mogurnda clivicola","Mogurnda mogurnda","Mugil cephalus","Nematalosa erebi","Neoarius berneyi","Neoarius graeffei","Neoarius leptaspis","Neoarius midgleyorum","Neoarius paucus","Neosiluroides cooperensis","Neosilurus ater","Neosilurus brevidorsalis","Neosilurus hyrtlii","Neosilurus mollespiculum","Neosilurus pseudospinosus","Neosilurus sp. Flinders","Notesthes robusta","Ophiocara porocephala","Ophisternon gutturale","Ophisternon spp?","Oxyeleotris aruensis","Oxyeleotris fimbriata","Oxyeleotris lineolata","Oxyeleotris nullipora","Oxyeleotris selheimi","Parambassis gulliveri","Pingalla gilberti","Pingalla lorentzi","Pingalla midgleyi","Porochilus argenteus","Porochilus obbesi","Porochilus rendahli","Prionobutis microps","Pseudomugil cyanodorsalis","Pseudomugil gertrudae","Pseudomugil inconspicuous","Pseudomugil signifer","Pseudomugil tenellus","Redigobius bikolanus","Retropinna semoni","Scatophagus argus ","Scaturiginichthys vermeilipinnis","Schismatogobius hoesei","Scleropages jardinii","Scortum barcoo","Scortum neili","Scortum ogilbyi","Scortum parviceps","Selenotoca multifasciata ","Sicyopterus lagocephalus","Stiphodon allen","Strongylura krefftii","Syncomistes butleri","Tandanus tropicanus","Thryssa scratchleyi","Toxotes chatareus","Toxotes lorentzi","Variichthys lacustris"
"ADELAIDE RIVER",0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"ARCHER RIVER",0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"BARRON RIVER",1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"BLYTH RIVER",0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"BUCKINGHAM RIVER",0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"CALVERT RIVER",0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"COLEMAN RIVER",0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
"DAINTREE RIVER",0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
"DALY RIVER",0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"DUCIE RIVER",0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
